Address,Price,Bedrooms,Bathrooms,SquareFeet,Latitude,Longitude
1 Example Street,271958,5,2,760,49.26720261,-123.1582054
2 Example Street,821155,2,2,2203,49.23281527,-123.1032419
3 Example Street,281932,5,3,3448,49.21550416,-123.1452028
4 Example Street,515838,2,2,997,49.29818409,-123.1576529
5 Example Street,409178,1,3,1900,49.28389335,-123.143148
6 Example Street,794167,4,1,1415,49.28604046,-123.1424075
7 Example Street,260268,4,1,2127,49.22502514,-123.1268352
8 Example Street,882180,4,1,2519,49.20388347,-123.187231
9 Example Street,204886,5,1,2015,49.23032655,-123.1749984
10 Example Street,287337,1,3,1758,49.25370824,-123.1419456
11 Example Street,671430,5,1,1818,49.23266512,-123.1132883
12 Example Street,237498,5,2,1000,49.2827869,-123.1438133
13 Example Street,325203,1,2,1239,49.22715429,-123.1761403
14 Example Street,341335,1,2,3335,49.29652518,-123.1320155
15 Example Street,428167,1,3,1059,49.24572652,-123.1260091
16 Example Street,191090,1,1,1554,49.28420231,-123.1761764
17 Example Street,479365,4,1,1069,49.219438,-123.1622271
18 Example Street,214820,3,1,1645,49.24113539,-123.1465673
19 Example Street,937201,3,3,3397,49.26995122,-123.1503439
20 Example Street,471879,1,2,2293,49.21383531,-123.1610382
21 Example Street,868315,3,2,2685,49.21327454,-123.1702365
22 Example Street,477069,3,1,2877,49.29695369,-123.1900015
23 Example Street,926997,1,2,1162,49.27145951,-123.1946515
24 Example Street,349041,3,2,3085,49.20410675,-123.1041459
25 Example Street,941743,5,3,2399,49.23988209,-123.1152857
26 Example Street,253355,2,3,2674,49.24335207,-123.1645095
27 Example Street,385796,2,3,825,49.27440426,-123.1043199
28 Example Street,364176,1,3,1397,49.22508605,-123.132323
29 Example Street,334779,4,1,2931,49.21843337,-123.1517479
30 Example Street,497449,1,3,1559,49.2080873,-123.1506974
31 Example Street,571909,4,2,2104,49.24283145,-123.1916716
32 Example Street,408795,2,1,1052,49.26884999,-123.1908296
33 Example Street,636232,1,2,1415,49.20581936,-123.1397559
34 Example Street,650186,5,2,1258,49.29152137,-123.1446297
35 Example Street,306730,3,2,1146,49.24423522,-123.1787272
36 Example Street,534681,4,3,1815,49.22397874,-123.1053805
37 Example Street,299503,3,3,616,49.20938733,-123.1218704
38 Example Street,804811,3,1,1843,49.2182866,-123.1886535
39 Example Street,677035,1,1,2805,49.2934614,-123.1069071
40 Example Street,798143,3,3,3124,49.26382706,-123.1025752
41 Example Street,602366,5,2,1669,49.25166963,-123.1004069
42 Example Street,215725,3,1,3165,49.26571113,-123.1944129
43 Example Street,279981,1,3,2746,49.24356729,-123.1262964
44 Example Street,234654,5,3,2368,49.27300393,-123.1454084
45 Example Street,741723,2,3,1660,49.20477161,-123.1294169
46 Example Street,469030,3,2,2927,49.25660372,-123.1031348
47 Example Street,478947,1,3,3144,49.21586464,-123.131197
48 Example Street,705839,2,3,901,49.21201646,-123.1163036
49 Example Street,423538,2,3,780,49.23418797,-123.1133131
50 Example Street,481236,4,3,1206,49.20917991,-123.1161519
51 Example Street,678178,5,1,1299,49.2094157,-123.1573909
52 Example Street,715894,3,1,1592,49.23114133,-123.1777424
53 Example Street,639492,1,3,1739,49.29795105,-123.1603348
54 Example Street,406840,4,2,790,49.21753303,-123.1108103
55 Example Street,623254,5,1,2900,49.20171611,-123.1853395
56 Example Street,499457,4,3,1580,49.27633644,-123.1486674
57 Example Street,815987,5,1,2606,49.2806913,-123.1766772
58 Example Street,420936,5,1,1784,49.23463043,-123.1418695
59 Example Street,389931,3,2,727,49.24646738,-123.1136861
60 Example Street,389629,5,3,2665,49.26497737,-123.111964
61 Example Street,355041,4,3,2416,49.20480589,-123.1763315
62 Example Street,848361,5,2,2358,49.29491457,-123.1092306
63 Example Street,881912,3,2,3213,49.28866804,-123.1408111
64 Example Street,567113,3,3,1169,49.22608936,-123.1649782
65 Example Street,218148,4,3,1946,49.20153045,-123.1291819
66 Example Street,927089,2,2,2495,49.29334363,-123.1518333
67 Example Street,798531,2,1,3333,49.25010399,-123.1622012
68 Example Street,401995,5,1,1225,49.25393774,-123.1294916
69 Example Street,828843,1,2,2286,49.26839638,-123.1751276
70 Example Street,722843,5,1,754,49.26158512,-123.1669747
71 Example Street,406508,4,2,3137,49.29438916,-123.1565548
72 Example Street,953591,4,1,2009,49.29442516,-123.1746318
73 Example Street,256530,4,1,1384,49.28671989,-123.1594798
74 Example Street,754365,4,3,845,49.26364036,-123.1428527
75 Example Street,972352,4,3,2100,49.28009493,-123.1259026
76 Example Street,610337,3,1,2305,49.26771683,-123.1232805
77 Example Street,874839,2,1,3406,49.2573367,-123.117721
78 Example Street,955889,4,3,1137,49.21285004,-123.1255788
79 Example Street,609773,1,3,2490,49.28112042,-123.1318961
80 Example Street,358261,1,3,2441,49.28206395,-123.1762494
81 Example Street,914469,1,2,1520,49.26259397,-123.1599777
82 Example Street,491097,1,1,3055,49.28204268,-123.1522285
83 Example Street,465139,3,3,1124,49.26514848,-123.1917109
84 Example Street,321829,1,1,3475,49.22066844,-123.147163
85 Example Street,421836,4,2,2129,49.22739611,-123.1563664
86 Example Street,588974,5,2,635,49.22145891,-123.1197891
87 Example Street,352283,1,3,1284,49.23772591,-123.1022099
88 Example Street,346769,3,2,619,49.20389631,-123.1443995
89 Example Street,711353,3,1,2968,49.26182539,-123.1677314
90 Example Street,373165,1,3,3159,49.23365542,-123.1956599
91 Example Street,773587,5,1,999,49.26557226,-123.1075357
